iter	Logloss
0	0.6734312364
1	0.6546425041
2	0.6363379019
3	0.6206222417
4	0.6044058207
5	0.5889535662
6	0.5744714563
7	0.5606928331
8	0.5488839954
9	0.5391393998
10	0.5307012386
11	0.5197708273
12	0.5095146545
13	0.5005068651
14	0.4930789416
15	0.484710268
16	0.4767415709
17	0.4684684185
18	0.4609345504
19	0.4532925963
20	0.4468348029
21	0.4399607143
22	0.433325936
23	0.42717839
24	0.4208650308
25	0.4163228423
26	0.41168935
27	0.4066834048
28	0.4014469266
29	0.3954973808
30	0.3906087194
31	0.3863163388
32	0.3821143225
33	0.3783686931
34	0.3749260075
35	0.3712921922
36	0.3665782791
37	0.3626261843
38	0.3596792177
39	0.3557997026
40	0.3518966464
41	0.3489197864
42	0.3458096091
43	0.3428099755
44	0.3397339171
45	0.3369427952
46	0.3340857509
47	0.3313084765
48	0.3286444261
49	0.3259974684
50	0.323067341
51	0.3203113115
52	0.3177264787
53	0.315254658
54	0.3127469685
55	0.3095553551
56	0.3075975859
57	0.3050328666
58	0.3032823942
59	0.3009816023
60	0.2984009534
61	0.2965436377
62	0.2943708227
63	0.2921123716
64	0.2903607107
65	0.288367828
66	0.2865462194
67	0.2850831436
68	0.2835938001
69	0.281470082
70	0.2803024984
71	0.2788602694
72	0.2774455888
73	0.2762337648
74	0.2746017235
75	0.2736498141
76	0.2728211824
77	0.2716696827
78	0.2700140183
79	0.269398883
80	0.2678699331
81	0.2666598621
82	0.2654588578
83	0.2641196975
84	0.2623307191
85	0.260769252
86	0.2597452458
87	0.2583035675
88	0.2573720069
89	0.2559506301
90	0.2546035386
91	0.2527191177
92	0.2517504697
93	0.2507373455
94	0.2496331978
95	0.2482930966
96	0.2471534178
97	0.2461868447
98	0.2449349187
99	0.244148255
100	0.2435012748
101	0.2423696311
102	0.2412309781
103	0.2397765271
104	0.2391262361
105	0.2380495853
106	0.2370904393
107	0.236569687
108	0.2354907452
109	0.2346779801
110	0.2339398593
111	0.2330028516
112	0.2322863539
113	0.231687076
114	0.2313342968
115	0.2309197283
116	0.2300578851
117	0.2293865335
118	0.2290328947
119	0.2284081455
120	0.227415409
121	0.2262379538
122	0.2253460607
123	0.2245308783
124	0.2234377617
125	0.2222919972
126	0.2215225841
127	0.2207029665
128	0.2200460562
129	0.2193982486
130	0.2185667722
131	0.2179688542
132	0.2172452842
133	0.2163315601
134	0.2157896456
135	0.2149062513
136	0.2140687403
137	0.2133851885
138	0.2128883281
139	0.2126424271
140	0.2118696048
141	0.2110399864
142	0.2106078802
143	0.2099507513
144	0.2092026977
145	0.2089030969
146	0.2080961714
