iter	Passed	Remaining
0	3	3071
1	5	2703
2	7	2556
3	10	2501
4	12	2477
5	14	2472
6	17	2457
7	19	2441
8	22	2428
9	24	2410
10	26	2409
11	29	2399
12	31	2395
13	34	2395
14	36	2386
15	38	2378
16	41	2373
17	43	2374
18	45	2373
19	48	2371
20	50	2368
21	53	2364
22	55	2361
23	58	2359
24	60	2359
25	62	2352
26	65	2361
27	67	2353
28	70	2350
29	72	2346
30	74	2341
31	77	2342
32	79	2338
33	82	2337
34	84	2332
35	87	2331
36	89	2327
37	91	2324
38	94	2323
39	96	2320
40	99	2318
41	101	2316
42	103	2313
43	106	2311
44	108	2308
45	111	2304
46	113	2301
47	115	2296
48	118	2293
49	120	2291
50	122	2288
51	125	2285
52	127	2282
53	130	2281
54	132	2280
55	135	2279
56	137	2275
57	139	2273
58	142	2270
59	144	2268
60	147	2266
61	149	2263
62	152	2261
63	154	2259
64	156	2257
65	159	2255
66	161	2253
67	164	2250
68	166	2246
69	168	2244
70	171	2243
71	173	2242
72	176	2239
73	178	2237
74	181	2235
75	183	2233
76	185	2228
77	188	2225
78	190	2224
79	193	2220
80	195	2218
81	197	2215
82	200	2213
83	202	2210
84	205	2208
85	207	2206
86	209	2203
87	212	2200
88	214	2198
89	217	2195
90	219	2193
91	221	2190
92	224	2188
93	226	2185
94	229	2182
95	231	2180
96	233	2177
97	236	2174
98	238	2171
99	240	2168
100	243	2165
101	245	2162
102	248	2160
103	250	2158
104	252	2154
105	255	2152
106	257	2150
107	260	2147
108	262	2144
109	264	2141
110	266	2138
111	269	2135
112	271	2132
113	274	2130
114	276	2127
115	278	2124
116	281	2121
117	283	2119
118	285	2116
119	288	2113
120	290	2111
121	293	2109
122	295	2106
123	297	2104
124	300	2102
125	302	2100
126	305	2098
127	307	2095
128	310	2093
129	312	2090
130	314	2088
131	317	2086
132	319	2083
133	322	2081
134	324	2078
135	326	2076
136	329	2073
137	331	2071
138	333	2068
139	336	2065
140	338	2063
141	341	2061
142	343	2059
143	346	2058
144	348	2057
145	351	2054
146	353	2054
147	356	2051
148	358	2049
149	361	2049
150	364	2048
151	366	2046
152	369	2045
153	372	2046
154	374	2044
155	377	2042
156	380	2040
157	382	2037
158	384	2035
159	387	2032
160	389	2030
161	392	2028
162	394	2026
163	397	2024
164	399	2021
165	401	2018
166	404	2017
167	406	2014
168	409	2011
169	411	2009
170	414	2009
171	417	2009
172	420	2010
173	423	2012
174	427	2014
175	430	2016
176	433	2016
177	437	2019
178	440	2019
179	443	2019
180	446	2018
181	448	2017
182	452	2020
183	456	2023
184	458	2020
185	461	2018
186	463	2015
187	465	2012
188	468	2009
189	470	2007
190	473	2004
191	475	2001
192	477	1998
193	480	1995
194	482	1993
195	485	1990
196	487	1987
197	490	1985
198	492	1982
199	494	1979
200	497	1976
201	499	1973
202	501	1970
203	504	1967
204	506	1964
205	508	1961
206	511	1958
207	513	1956
208	516	1953
209	518	1951
210	521	1949
